Feature,Importance,timestamp
cat__importer_Importer_937,0.0013743114,2025-05-12 22:09:03
cat__importer_Importer_566,0.0013730945,2025-05-12 22:09:03
cat__importer_Importer_762,0.0013641354,2025-05-12 22:09:03
cat__importer_Importer_543,0.0013632101,2025-05-12 22:09:03
cat__importer_Importer_938,0.001361061,2025-05-12 22:09:03
cat__importer_Importer_779,0.0013601726,2025-05-12 22:09:03
cat__importer_Importer_231,0.0013595487,2025-05-12 22:09:03
cat__importer_Importer_288,0.0013580683,2025-05-12 22:09:03
cat__importer_Importer_66,0.0013571329,2025-05-12 22:09:03
cat__importer_Importer_792,0.0013552774,2025-05-12 22:09:03
cat__importer_Importer_661,0.0013508692,2025-05-12 22:09:03
cat__importer_Importer_100,0.0013427516,2025-05-12 22:09:03
cat__importer_Importer_932,0.0013399288,2025-05-12 22:09:03
cat__importer_Importer_684,0.0013372387,2025-05-12 22:09:03
cat__importer_Importer_45,0.0013359376,2025-05-12 22:09:03
cat__importer_Importer_174,0.0013345289,2025-05-12 22:09:03
cat__importer_Importer_82,0.0013256811,2025-05-12 22:09:03
cat__importer_Importer_580,0.0013254866,2025-05-12 22:09:03
cat__importer_Importer_3,0.0013246954,2025-05-12 22:09:03
cat__importer_Importer_471,0.0013229931,2025-05-12 22:09:03
cat__importer_Importer_949,0.0013217928,2025-05-12 22:09:03
cat__importer_Importer_677,0.0013115319,2025-05-12 22:09:03
cat__importer_Importer_457,0.0013067977,2025-05-12 22:09:03
cat__importer_Importer_886,0.0013046735,2025-05-12 22:09:03
cat__importer_Importer_533,0.0012931974,2025-05-12 22:09:03
cat__importer_Importer_308,0.0012920838,2025-05-12 22:09:03
cat__importer_Importer_217,0.0012909396,2025-05-12 22:09:03
cat__importer_Importer_348,0.0012905004,2025-05-12 22:09:03
cat__importer_Importer_246,0.0012904361,2025-05-12 22:09:03
cat__importer_Importer_599,0.0012893875,2025-05-12 22:09:03
cat__importer_Importer_913,0.0012825378,2025-05-12 22:09:03
cat__importer_Importer_799,0.0012815238,2025-05-12 22:09:03
cat__importer_Importer_668,0.0012812504,2025-05-12 22:09:03
cat__importer_Importer_645,0.0012808233,2025-05-12 22:09:03
cat__importer_Importer_445,0.001276873,2025-05-12 22:09:03
cat__importer_Importer_912,0.0012725515,2025-05-12 22:09:03
cat__importer_Importer_444,0.001270917,2025-05-12 22:09:03
cat__importer_Importer_639,0.0012707994,2025-05-12 22:09:03
cat__importer_Importer_726,0.0012677341,2025-05-12 22:09:03
cat__importer_Importer_617,0.0012653989,2025-05-12 22:09:03
cat__importer_Importer_511,0.0012643612,2025-05-12 22:09:03
cat__importer_Importer_373,0.0012613429,2025-05-12 22:09:03
cat__importer_Importer_262,0.0012612318,2025-05-12 22:09:03
cat__importer_Importer_286,0.0012611884,2025-05-12 22:09:03
cat__importer_Importer_279,0.0012609229,2025-05-12 22:09:03
cat__importer_Importer_858,0.0012532929,2025-05-12 22:09:03
cat__importer_Importer_660,0.0012510706,2025-05-12 22:09:03
cat__importer_Importer_782,0.0012508401,2025-05-12 22:09:03
cat__importer_Importer_951,0.001250071,2025-05-12 22:09:03
cat__importer_Importer_268,0.0012491051,2025-05-12 22:09:03
cat__importer_Importer_112,0.0012407397,2025-05-12 22:09:03
cat__importer_Importer_520,0.001238568,2025-05-12 22:09:03
cat__importer_Importer_650,0.0012374936,2025-05-12 22:09:03
cat__importer_Importer_52,0.0012364963,2025-05-12 22:09:03
cat__importer_Importer_609,0.0012358538,2025-05-12 22:09:03
cat__importer_Importer_42,0.0012324619,2025-05-12 22:09:03
cat__importer_Importer_523,0.0012282631,2025-05-12 22:09:03
cat__importer_Importer_205,0.0012279088,2025-05-12 22:09:03
cat__importer_Importer_805,0.0012271325,2025-05-12 22:09:03
cat__importer_Importer_699,0.0012269616,2025-05-12 22:09:03
cat__importer_Importer_350,0.0012233146,2025-05-12 22:09:03
cat__importer_Importer_277,0.0012214119,2025-05-12 22:09:03
cat__importer_Importer_466,0.0012212421,2025-05-12 22:09:03
cat__importer_Importer_44,0.0012179802,2025-05-12 22:09:03
cat__importer_Importer_846,0.0012152832,2025-05-12 22:09:03
cat__importer_Importer_416,0.0012131725,2025-05-12 22:09:03
cat__importer_Importer_622,0.0012122348,2025-05-12 22:09:03
cat__importer_Importer_65,0.0012040082,2025-05-12 22:09:03
cat__importer_Importer_958,0.0012035804,2025-05-12 22:09:03
cat__importer_Importer_411,0.0012035352,2025-05-12 22:09:03
cat__importer_Importer_943,0.0012024731,2025-05-12 22:09:03
cat__importer_Importer_728,0.0011897319,2025-05-12 22:09:03
cat__importer_Importer_711,0.001181551,2025-05-12 22:09:03
cat__importer_Importer_337,0.0011783509,2025-05-12 22:09:03
cat__importer_Importer_562,0.0011764695,2025-05-12 22:09:03
cat__importer_Importer_302,0.0011741354,2025-05-12 22:09:03
cat__importer_Importer_785,0.0011642614,2025-05-12 22:09:03
cat__importer_Importer_215,0.0011621581,2025-05-12 22:09:03
cat__importer_Importer_233,0.0011534835,2025-05-12 22:09:03
cat__importer_Importer_244,0.0011531013,2025-05-12 22:09:03
cat__importer_Importer_869,0.0011508891,2025-05-12 22:09:03
cat__importer_Importer_780,0.0011497366,2025-05-12 22:09:03
cat__importer_Importer_449,0.0011465095,2025-05-12 22:09:03
cat__importer_Importer_339,0.001143706,2025-05-12 22:09:03
cat__importer_Importer_361,0.0011384409,2025-05-12 22:09:03
cat__importer_Importer_254,0.0011325027,2025-05-12 22:09:03
cat__importer_Importer_469,0.0011311856,2025-05-12 22:09:03
cat__importer_Importer_789,0.0011308319,2025-05-12 22:09:03
cat__importer_Importer_589,0.0011307504,2025-05-12 22:09:03
cat__importer_Importer_649,0.00112877,2025-05-12 22:09:03
cat__importer_Importer_465,0.0011176673,2025-05-12 22:09:03
cat__importer_Importer_904,0.0011109855,2025-05-12 22:09:03
cat__importer_Importer_515,0.0011108436,2025-05-12 22:09:03
cat__importer_Importer_238,0.0011079138,2025-05-12 22:09:03
cat__importer_Importer_120,0.0010986457,2025-05-12 22:09:03
cat__importer_Importer_409,0.0010779449,2025-05-12 22:09:03
cat__importer_Importer_340,0.0010722062,2025-05-12 22:09:03
cat__importer_Importer_90,0.0010715398,2025-05-12 22:09:03
cat__importer_Importer_806,0.0010624654,2025-05-12 22:09:03
cat__importer_Importer_614,0.0010412494,2025-05-12 22:09:03
cat__importer_Importer_674,0.0010267877,2025-05-12 22:09:03
cat__importer_Importer_648,0.0010230104,2025-05-12 22:09:03
cat__importer_Importer_575,0.0010006778,2025-05-12 22:09:03
cat__importer_Importer_222,0.000999711,2025-05-12 22:09:03
cat__importer_Importer_646,0.0009886734,2025-05-12 22:09:03
cat__importer_Importer_783,0.000977813,2025-05-12 22:09:03
cat__importer_Importer_251,0.00094015675,2025-05-12 22:09:03
cat__importer_Importer_89,0.0009250514,2025-05-12 22:09:03
cat__importer_Importer_274,0.00092265767,2025-05-12 22:09:03
cat__importer_Importer_154,0.00090706063,2025-05-12 22:09:03
cat__importer_Importer_387,0.00088750006,2025-05-12 22:09:03
cat__importer_Importer_419,0.0008640626,2025-05-12 22:09:03
cat__importer_Importer_704,0.00086150557,2025-05-12 22:09:03
num__value_usd,0.00082580396,2025-05-12 22:09:03
cat__importer_Importer_369,0.0008084506,2025-05-12 22:09:03
cat__importer_Importer_321,0.0008083829,2025-05-12 22:09:03
